black tshirt,14,15,18,36,37,49,52,54,56,58,60,69,88,96,108,110,120,121,126,134,140,167,169,172,184,186,188,190,191,203,211,219,226,230,231,238,245,246,249,256,259,260,263,269,274,330,344,356,361,375,380,381
multicolor tshirt,0,6,25,34,35,38,41,67,75,79,103,105,114,119,123,124,145,164,197,199,222,227,234,236,239,244,261,273,281,286,305,312,315,316,323,340,364,374,376,377
blue tshirt,5,16,23,32,42,53,78,80,101,116,133,146,153,174,178,193,195,214,220,262,270,275,288,290,300,317,321,339,348,350
green tshirt,10,45,47,64,91,95,99,102,104,109,130,135,138,152,175,180,204,209,212,229,250,251,252,289,302,328,337,351,362,378
white tshirt,100,112,147,156,157,161,198,218,235,237,254,265,294,303,306,326,338,341,363,365,369,382
red white black tshirt,347
maroon beige tshirt,360
grey blue tshirt,366
blue black tshirt,373
navy blue tshirt,383
